genre,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
pop,Taylor Swift,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,87,0.516,0.777,1,-4.908,0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,223093
pop,Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,89,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,291175
pop,The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,90,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400
pop,Adele,I Drink Wine,6v0UJD4a2FtleHeSYVX02A,88,0.437,0.565,10,-5.596,1,0.0466,0.697,0.0,0.119,0.306,115.389,376169
pop,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,92,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040
pop,Adele,Easy On Me,46IZ0fSY2mpAiktS3KOqds,89,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695
pop,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,85,0.606,0.377,0,-9.455,1,0.0275,0.817,0.0,0.154,0.446,101.96,258813
pop,Måneskin,Beggin',3Wrjm47oTz2sjIgck11l5e,94,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,211560
pop,Adele,My Little Love,2DuPBbS5mIldXnh7Wum8Cy,87,0.339,0.492,1,-10.661,1,0.0559,0.829,0.00377,0.147,0.102,151.865,389107
pop,Doja Cat,You Right,0k4d5YPDr1r7FX77VdqWez,87,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173
pop,LISA,MONEY,7hU3IHwjX150XLoTVmjD0q,92,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228
pop,Taylor Swift,All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,87,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,329160
pop,Taylor Swift,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,85,0.391,0.715,0,-4.516,1,0.0495,0.167,0.0,0.183,0.473,149.654,285107
pop,Adele,Strangers By Nature,13CVSGLSFl4UxpDVR6u3dq,86,0.387,0.253,5,-8.901,1,0.0336,0.798,0.000159,0.0848,0.134,68.004,182163
pop,Adele,Cry Your Heart Out,09u787BYeYIGd2mFIJ505t,86,0.756,0.713,7,-6.917,1,0.102,0.523,3.35e-06,0.248,0.59,125.064,255278
pop,Doja Cat,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,85,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,174253
pop,Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,88,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507
pop,Yot Club,YKWIM?,2vWBUC9djv6BtiGlmKiQaH,84,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750
pop,Adele,To Be Loved,10ImcQk9tihY1EKMDIbvXJ,86,0.356,0.176,8,-8.291,1,0.0391,0.843,0.0,0.231,0.289,170.425,403962
pop,Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH,90,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013
pop,Adele,When We Were Young,7GgWAITsYJaRM3r50rfh5w,81,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,290900
pop,Coldplay,My Universe,3FeVmId7tL5YN8B7R3imoM,94,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988,228000
pop,Lil Nas X,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,90,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,137704
pop,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,90,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014
pop,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,91,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082
pop,Adele,All Night Parking (with Erroll Garner) Interlude,496vIKS2INz840xZaKncvR,85,0.734,0.497,8,-9.666,1,0.166,0.67,2.35e-05,0.194,0.307,127.989,161829
pop,Adele,Woman Like Me,2c6xRsQBv7pynuhYhWoHxo,84,0.594,0.37,4,-10.561,0,0.173,0.749,3.2e-05,0.132,0.329,145.601,300248
pop,Adele,Hold On,6bGMSP3H9YqkmaLnaJTIoF,85,0.366,0.364,0,-7.814,1,0.0433,0.858,1.15e-05,0.165,0.459,165.902,366004
pop,Adele,Someone Like You,1zwMYTA5nlNjZxYrvBB2pV,82,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,285240
pop,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,1r9xUipOqoNwggBpENDsvJ,93,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,173381
pop,Bruno Mars,Leave The Door Open,7MAibcTli4IisCtbHKrGMh,88,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,242096
pop,Drake,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3,87,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,221980
pop,Taylor Swift,State Of Grace (Taylor's Version),6lzc0Al0zfZOIFsFvBS1ki,84,0.594,0.713,9,-5.314,1,0.0503,0.000328,0.0,0.114,0.328,129.958,295413
pop,Taylor Swift,Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,87,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433
pop,Billie Eilish,Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo,88,0.334,0.599,0,-5.742,1,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444
pop,Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr,88,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062
pop,Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx,92,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805
pop,Taylor Swift,Enchanted,10eBRyImhfqVvkiVEGf0N0,79,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,352187
pop,Beach House,Space Song,7H0ya83CMmgFcOhw0UB6ow,80,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,320467
pop,Kali Uchis,telepatía,6tDDoYIxWvMLTdKpjFkc1B,86,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191
pop,Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,87,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040
pop,Adele,Love Is A Game,2j3GxEsbNYNeEzz86wDY4J,84,0.269,0.591,10,-5.79,0,0.0416,0.453,0.000695,0.0702,0.228,183.793,403044
pop,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,92,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301
pop,Taylor Swift,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,1n3b9Eekoy3S9ZSZ5DmTW1,74,0.585,0.286,0,-10.123,1,0.0312,0.838,0.0,0.115,0.189,93.009,598150
pop,Ed Sheeran,Shivers,75MNhvTCCKsST3YqqUiU9r,91,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853
pop,Adele,Rolling in the Deep,1c8gk2PeTE04A1pIDH9YMk,83,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,228093
pop,Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,84,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956
pop,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,85,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,126267
pop,The Walters,I Love You So,4SqWKzw0CbA05TGszDgMlc,88,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,160240
pop,Doja Cat,Streets,60ynsPSSKe6O3sfwRnIBRf,85,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,226987
pop,Taylor Swift,I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,84,0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,154.008,219760
pop,Summer Walker,No Love (with SZA),08SB2OtZkaliju77WYEKxk,83,0.707,0.618,1,-5.825,0,0.19,0.17,0.0,0.293,0.517,133.876,231498
pop,girl in red,we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,85,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,184154
pop,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,84,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204
pop,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,83,0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,225960
pop,Taylor Swift,The Very First Night (Taylor's Version) (From The Vault),6pYNq0ZwpPVazKzsqpf0G8,83,0.678,0.733,7,-5.025,1,0.0281,0.00115,0.0,0.104,0.581,121.009,200280
pop,Taylor Swift,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,85,0.61,0.488,3,-6.918,1,0.0293,0.817,0.0,0.312,0.443,125.039,240227
pop,Harry Styles,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,89,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000
pop,MKTO,Classic,6FE2iI43OZnszFLuLtvvmg,84,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427
pop,Taylor Swift,Treacherous (Taylor's Version),3S7HNKPakdwNEBFIVTL6dZ,83,0.645,0.593,2,-6.506,1,0.0288,0.0344,0.000127,0.13,0.299,109.984,242720
pop,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,90,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,212353
pop,WILLOW,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,83,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520
pop,Dua Lipa,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,87,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064
pop,Bruno Mars,Talking to the Moon,161DnLWsx1i3u1JT05lzqU,83,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,217867
pop,Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,86,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266
pop,Taylor Swift,22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,84,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,230960
pop,Joy Again,Looking Out for You,3jfZ9M23l0L7RxzYMTgBTv,83,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721,179499
pop,Doja Cat,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,86,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667
pop,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,84,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274
pop,Taylor Swift,Better Man (Taylor's Version) (From The Vault),4OmFmE0fzcMG6g0Y8p4eSD,82,0.473,0.579,4,-5.824,1,0.0384,0.214,0.0,0.0877,0.255,73.942,297013
pop,Adele,Love In The Dark,7B5Npv8NjjTCzk8PLpU66h,80,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,285935
pop,Ed Sheeran,Overpass Graffiti,4btFHqumCO31GksfuBLLv3,90,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,236907
pop,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),15HMh4yxdf4wyxSZSlOgGZ,90,0.859,0.525,1,-8.051,0,0.0592,0.434,2.34e-05,0.108,0.312,110.066,204764
pop,Dua Lipa,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,84,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064
pop,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,90,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747
pop,Giveon,Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,85,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,198371
pop,Marshmello,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,87,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983
pop,Ariana Grande,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,85,0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,204093
pop,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,88,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627
pop,The Neighbourhood,Daddy Issues,5E30LdtzQTGqRvNd7l6kG5,86,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173
pop,Olivia Rodrigo,happier,2tGvwE8GcFKwNdAXMnlbfl,87,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,175933
pop,Billie Eilish,Bored,04sN26COy28wTXYj3dMoiZ,88,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,180933
pop,24kGoldn,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,88,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,140533
pop,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,85,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253
pop,Drake,Champagne Poetry,2HSmyk2qMN8WQjuGhaQgCk,83,0.423,0.667,6,-7.012,0,0.326,0.758,0.0,0.246,0.496,86.743,336511
pop,Taylor Swift,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,5pZLsASxnWyLYdGj0FJxCb,52,0.568,0.283,0,-10.322,1,0.0318,0.848,0.0,0.115,0.182,92.795,598150
pop,Olivia Rodrigo,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,86,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,173160
pop,Vance Joy,Riptide,3JvrhDOgAt6p7K8mDyZwRd,79,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280
pop,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),5YqltLsjdqFtvqE7Nrysvs,83,0.567,0.686,7,-6.139,1,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,193147
pop,Taylor Swift,I Almost Do (Taylor's Version),2r9CbjYgFhtAmcFv1cSquB,82,0.511,0.559,4,-6.587,1,0.0264,0.0167,0.0,0.113,0.248,145.88,244587
pop,Glass Animals,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,88,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805
pop,Olivia Rodrigo,brutal,6SRsiMl7w1USE4mFqrOhHC,84,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,143747
pop,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,87,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161
pop,Taylor Swift,cardigan,1ulnoG06MtkRDKi1R5sPE9,0,0.612,0.58,0,-8.572,0,0.0419,0.525,0.000414,0.26,0.534,130.045,239560
pop,Taylor Swift,Christmas Tree Farm,3XvECQt2Tq685sJ3miecRu,0,0.599,0.681,7,-4.5,1,0.0331,0.0593,0.0,0.324,0.453,133.995,228027
pop,Taylor Swift,willow,2gqi6uXGa2tezn2d9pe6je,1,0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,214707
pop,Childish Gambino,Redbone,0wXuerDYiBnERgIpbb3JBR,83,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,326933
pop,Neon Trees,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,82,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280
pop,Harry Styles,Falling,1ZMiCix7XSAbfAJlEZWMCp,86,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133
pop,Taylor Swift,Babe (Taylor's Version) (From The Vault),0v4z1tuZvn6LGknom9Qx7d,81,0.584,0.743,4,-7.075,1,0.0931,0.0538,2.83e-06,0.121,0.746,167.844,224240
pop,Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,88,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190
pop,Taylor Swift,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),0y6kdSRCVQhSsHSpWvTUm7,82,0.502,0.534,2,-5.954,1,0.0278,0.0399,0.0,0.0977,0.155,94.05,299080
pop,Blxst,Chosen (feat. Ty Dolla $ign),1dIWPXMX4kRHj6Dt2DStUQ,86,0.571,0.767,2,-5.16,1,0.287,0.336,0.0,0.0809,0.605,93.421,161684
pop,Paramore,Still into You,1yjY7rpaAQvKwpdUliHx0d,82,0.602,0.923,5,-3.763,1,0.044,0.0098,0.0,0.0561,0.765,136.01,216013
pop,Young Thug,Bubbly (with Drake & Travis Scott),4KDNRh9Oor80z3XIxdWlui,83,0.91,0.585,11,-7.572,0,0.257,0.0536,0.0,0.127,0.599,129.011,165067
pop,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,86,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,172325
pop,TV Girl,Not Allowed,0jA4h2SD50Oak4C3Vn905a,81,0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,167864
pop,Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,88,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186
pop,BTS,Butter,2bgTY4UwhfBYhGT4HUYStN,90,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,164442
pop,Taylor Swift,Stay Stay Stay (Taylor's Version),7eQj6r5PIdYKEIZjucBMcq,81,0.693,0.681,0,-7.039,1,0.025,0.0848,0.0,0.0768,0.663,100.02,205787
pop,Taylor Swift,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),7qEUFOVcxRI19tbT68JcYK,82,0.498,0.61,6,-5.098,1,0.0363,0.271,0.0,0.223,0.474,79.918,245427
pop,Bruno Mars,Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,81,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734
pop,Adele,Set Fire to the Rain,73CMRj62VK8nUS4ezD2wvi,80,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,242974
pop,BØRNS,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,83,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107
pop,My Chemical Romance,Teenagers,7j31rVgGX9Q2blT92VBEA0,84,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,161920
pop,Wallows,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,82,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000
pop,Taylor Swift,Forever Winter (Taylor's Version) (From The Vault),3oGVx9RBmiYGv5ZCecWLkx,81,0.611,0.552,7,-5.828,1,0.031,0.256,0.0,0.134,0.41,116.012,263533
pop,Paramore,Misery Business,6SpLc7EXZIPpy0sVko0aoU,76,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520
pop,Taylor Swift,Holy Ground (Taylor's Version),7J4b3LVCIGO4CMBDFLPoP6,81,0.622,0.809,9,-5.623,1,0.0638,0.0288,0.00218,0.109,0.511,156.894,202960
pop,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,85,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,227395
pop,José Feliciano,Feliz Navidad,0oPdaY4dXtc3ZsaG17V972,76,0.513,0.831,2,-9.004,1,0.0383,0.55,0.0,0.336,0.963,148.837,182067
pop,Clairo,Sofia,7B3z0ySL9Rr0XvZEAjWZzM,82,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387
pop,James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,85,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467
pop,Kelly Clarkson,Underneath the Tree,3YZE5qDV7u1ZD1gZc47ZeR,75,0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,229640
pop,Taylor Swift,Begin Again (Taylor's Version),05GsNucq8Bngd9fnd4fRa0,81,0.519,0.527,7,-7.673,1,0.0274,0.075,0.0,0.132,0.267,78.915,238867
pop,Meek Mill,Sharing Locations (feat. Lil Baby & Lil Durk),3J4VKkUpLvomXJbn9ZAypO,81,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,161053
pop,Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC,80,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,198293
pop,Coldplay,Yellow,3AJwUDP919kvQ9QcozQPxg,87,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773
pop,Bruno Mars,Smokin Out The Window,6M4jdLdM7wLGungMV9gsCS,80,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,197443
pop,DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1EJIcDYXwSqipW5dFe4uJz,79,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,236524
pop,Adele,Send My Love (To Your New Lover),0t7fVeEJxO2Xi4H2K5Svc9,79,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,223079
